,index,property_id,price,bed_no,address,property_type,listed_time,agent,first_station,second_station
18574,607,47997207,550000.0,2.0,"Lavender Hill, Battersea SW11",flat,2018-06-14 00:00:00,"Featherstone Leigh - Battersea, SW11",Clapham Junction,Queenstown Road (Battersea)
18575,89,49419737,550000.0,2.0,"Aliwal Road, London SW11",flat,2018-10-19 00:00:00,"Hamptons International - Battersea Sales, SW11",Clapham Junction,Wandsworth Town
18576,145,49318066,550000.0,3.0,"Sunbury Lane, Battersea, London SW11",house,2018-10-10 00:00:00,"John D Wood &amp; Co. - Battersea Sales, SW11",Imperial Wharf,Clapham Junction
18577,168,49284784,550000.0,2.0,"Eaton House - Vicarage Crescent, Battersea SW11",flat,2018-10-08 00:00:00,"Purplebricks, Head Office, B90",Imperial Wharf,Clapham Junction
18578,586,48088301,550000.0,3.0,"Albion Quay, Lombard Rd, Battersea SW11",house,2018-06-21 00:00:00,"riverhomes, South West London office, SW15",Imperial Wharf,Clapham Junction
18579,476,48566797,550000.0,,"Pearce House, Battersea Power Station, Battersea, London SW11",house,2018-07-30 00:00:00,"MyLondonHome - Central and West End Sales and Lettings, SW1E",Battersea Park,Queenstown Road (Battersea)
18580,204,49231050,550000.0,3.0,"Battersea Park Road, London SW11",flat,2018-10-03 00:00:00,"James Pendleton, Clapham Common &amp; Brixton Office, SW4",Battersea Park,Queenstown Road (Battersea)
18581,528,48325514,550000.0,,"Circus Road West, London SW11",house,2018-07-11 00:00:00,"Battersea &amp; Nine Elms Estates, SW8",Battersea Park,Queenstown Road (Battersea)
18582,300,49029820,550000.0,2.0,"Falcon Wharf, Lombard Road, Battersea SW11",flat,2018-09-13 00:00:00,"Charles Richardson, CR7",Clapham Junction,Imperial Wharf
18583,956,47136232,550000.0,1.0,"Three Riverlight Quay, Nine Elms Lane, Vauxhall, London SW11",flat,2015-11-06 00:00:00,"MyLondonHome - Central and West End Sales and Lettings, SW1E",Pimlico,Battersea Park
18584,53,49467179,550000.0,2.0,"Sheepcote Lane, London SW11",flat,2018-10-24 00:00:00,"Chestertons - Battersea Park, SW11",Queenstown Road (Battersea),Clapham Junction
18585,36,49505797,550000.0,1.0,"Leathwaite Road, London SW11",flat,2018-10-29 00:00:00,"Douglas &amp; Gordon - Battersea, SW11",Clapham Junction,Clapham South
18586,312,49010630,550000.0,1.0,"Burnelli Building, Chelsea Bridge Wharf, London SW11",flat,2018-09-12 00:00:00,"Garton Jones - Chelsea Bridge Wharf, SW8",Battersea Park,Queenstown Road (Battersea)
18587,294,49037758,550000.0,1.0,"Aliwal Road, Battersea SW11",flat,2018-09-14 00:00:00,"Aspire - Battersea, SW11",Clapham Junction,Wandsworth Town
18588,376,48888678,550000.0,1.0,"Queenstown Road, London SW11",flat,2018-08-31 00:00:00,"Winkworth - Clapham, SW4",Battersea Park,Queenstown Road (Battersea)
18589,57,49463200,550000.0,2.0,"Vicarage Crescent, London SW11",flat,2018-10-24 00:00:00,"Dexters - Battersea, SW11",Imperial Wharf,Clapham Junction
18590,794,46772186,550000.0,2.0,"Eversleigh Road, Battersea SW11",house,2018-02-28 00:00:00,"Purplebricks, Head Office, B90",Queenstown Road (Battersea),Battersea Park
18591,292,49038779,550000.0,2.0,"Lavender Hill, Battersea, London SW11",flat,2018-09-14 00:00:00,"Bairstow Eves - Battersea Sales, SW11",Queenstown Road (Battersea),Clapham Junction
18592,676,47621189,550000.0,1.0,"Battersea High Street, London SW11",house,2018-05-14 00:00:00,"Chestertons - Battersea Park, SW11",Imperial Wharf,Clapham Junction
18593,339,48948882,550000.0,3.0,"Watford Close, London SW11",flat,2018-09-06 00:00:00,"Dexters - Battersea, SW11",Imperial Wharf,Battersea Park
18594,274,49078851,549950.0,3.0,"Parkham Street, Battersea SW11",flat,2018-09-18 00:00:00,"Foxtons - Battersea, SW11",Imperial Wharf,Clapham Junction
